CVE_EST,NOM_EST,CVE_MUN,NOM_MUN,GINI,Enf_int_xhab,ind_ingreso,IMN_2020,A_ve_m2,PORC_C_ALIM,PERS_C_ASBV,PORC_POB_IILP,PCDISC_MOT,porc_sin_tratar,Porc_ab_msup,pje_pob_15ymas_edbasinc_2020,pib_estatal,PE_INAC,Pob_des,rsu_sin_rec,sup_sin_total,u_panag,Pje_vivnodinter_2020,tasa_unidades_eco,tot_del_fc,PSINDER,VPH_NODREN,p_sind,personal_seguridad ,ec_co2e,uem50,carretera_km,TOT_INV_CARR,TOT_INV_AGUA,TOT_INV_ESPE,SPDCD_T,t_lamp_lumi_alumb_pub,p_disp_seg,pres_eje_seg_mun,pob_ben_beca,Tiendas liconsa
13,Hidalgo,61,Tepeapulco,0.310064,16.20,0.761,0.927,1.309843987,18.31830876,2.698152325,59.2962171,1462,96.85,23.50,22.10,13.20,19179,9.88,"29,094",1.550917466,46.28,48.1,27.64,1507,15701,223,27.92,88,"144,074",18,129.19,90494505.27,21761298.36,26656783.6,17,5887,388,42 080 302,"5,021.83",2
13,Hidalgo,62,Tepehuacán de Guerrero,0.321007,5.19,0.62,0.765,0.010053329,27.64151549,27.21179167,89.35366965,701,96.85,24.10,53.07,0.02,11175,2.79,"37,271",0,57.52,93.8,223.08,81,2308,402,7.39,30,8414,0,243.14,84687223.02,6489285.9,7931589.61,,1440,155,23 472 125,"4,579.32",40
13,Hidalgo,63,Tepeji del Río de Ocampo,0.306432,30.90,0.751,0.899,0.052885596,22.18797498,6.252569058,51.29966438,1946,96.85,22.39,28.26,6.55,27120,6.69,"58,655",0,69.85,62.0,45.36,1767,23557,1141,26.02,108,"264,234",25,56.3,82059434.11,16641915.55,88088622.84,23,9650,975,44 888 892,"6,271.49",2
13,Hidalgo,64,Tepetitlán,0.304678,14.31,0.705,0.873,0,28.8341229,4.12735739,53.08131385,417,100.00,27.53,34.78,0.01,3621,0.81,"10,576",9.981334196,73.52,71.5,83.61,71,2741,258,25.31,11,17832,0,30.86,61463957.63,3980000,5360436.38,3,1195,22,8 102 495,"1,306.71",7
13,Hidalgo,65,Tetepango,0.310033,8.07,0.721,0.910,0.405769688,21.82321276,5.978861606,76.08290319,258,100.00,25.18,31.28,0.04,4148,1.55,"8,122",0.202946787,87.8,66.4,46.88,58,3876,74,32.94,15,17425,0,12.29,21269475.25,311340.7504,0,10,1344,193,8 804 263,"2,205.53",0
13,Hidalgo,66,Villa de Tezontepec,0.319336,13.12,0.728,0.904,0.072287232,21.57094298,6.515899072,60.37899063,321,96.85,27.59,28.43,0.31,3706,0.86,"3,638",0.696728165,58.24,51.4,65.96,128,5779,38,44.34,30,25757,5,9.6,42496785.59,1567654.449,818226,22,1521,,9 874 841,718.72,2
13,Hidalgo,67,Tezontepec de Aldama,0.316972,7.55,0.713,0.893,0.034173004,27.53953527,4.794159478,63.18669112,1346,100.00,23.89,29.39,0.35,14999,3.90,"48,795",0.792102973,98.78,74.4,135.96,308,17958,609,32.57,58,"58,102",1,208.075,25485542.28,16004442.75,18861990.51,7,4790,385,13 196 851,"4,344.73",2
13,Hidalgo,68,Tianguistengo,0.352243,32.98,0.632,0.786,0.02189789,35.74851964,22.90158663,82.51416497,361,100.00,31.49,52.12,0.01,5709,1.87,"14,208",0,48.13,95.2,58.25,56,2512,479,17.52,28,7617,0,31.18,106947496.1,0,1797466.67,4,998,,10 728 512,"2,810.37",25
13,Hidalgo,69,Tizayuca,0.29553,10.15,0.759,0.930,0.794036659,25.05432946,5.361855049,54.42462371,3154,97.29,22.37,19.92,9.76,49648,16.00,"33,962",0.399201597,76.5,45.8,181.88,4846,59196,205,35.17,191,856058,46,13.08,55657775.74,20085421.06,27432663.55,192,13935,1463,85 067 785,"11,111.60",2
13,Hidalgo,70,Tlahuelilpan,0.329725,3.88,0.741,0.902,0.273921916,21.30099045,4.893874698,66.72459607,452,100.00,27.71,29.74,0.30,5740,1.35,"17,880",0.159625412,93.37,64.4,49.24,359,6508,94,34.13,29,"35,128",1,329.82,45401940.2,504447.1523,3229278.33,,2105,376,8 201 720,"2,695.74",1
13,Hidalgo,71,Tlahuiltepa,0.305213,18.38,0.649,0.803,0.034560394,7.165178571,5.502232143,83.94169566,492,100.00,25.77,56.32,0.00,3681,0.29,"10,903",0,71.32,92.4,86.49,16,1770,413,19.48,13,8099,0,32.9,150464045,9403751.29,4424497.355,,800,17,6 797 825,916.23,23
13,Hidalgo,72,Tlanalapa,0.307229,14.40,0.748,0.920,0,20.84288884,3.346296757,65.56945813,231,100.00,23.08,21.55,0.13,4068,2.36,"3,336",2.844575883,40.62,52.7,26.92,216,3023,101,27.20,9,38646,2,328.18,45299365.69,4429065.172,3310908.11,14,1351,42,3 178 078,633.58,1
